+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 1000     | 
| noServices    | 1000     | 
| noShipments   | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 192013.9622587949                        | 
| noVehicles    | 75                                       | 
| unassgndJobs  | 314                                      | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 24      | 2_12_vehicle         | service               | 971             | 56              | 90              | 56              |
| 24      | 2_12_vehicle         | service               | 57              | 99              | 150             | 64              |
| 24      | 2_12_vehicle         | service               | 892             | 171             | 210             | 85              |
| 24      | 2_12_vehicle         | service               | 438             | 216             | 246             | 92              |
| 24      | 2_12_vehicle         | service               | 41              | 257             | 287             | 103             |
| 24      | 2_12_vehicle         | service               | 848             | 295             | 330             | 110             |
| 24      | 2_12_vehicle         | service               | 255             | 344             | 374             | 124             |
| 24      | 2_12_vehicle         | service               | 330             | 375             | 405             | 125             |
| 24      | 2_12_vehicle         | service               | 310             | 418             | 450             | 139             |
| 24      | 2_12_vehicle         | service               | 324             | 468             | 498             | 157             |
| 24      | 2_12_vehicle         | end                   | -               | 574             | undef           | 233             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 25      | 2_4_vehicle          | start                 | -               | undef           | 0               | 0               |
| 25      | 2_4_vehicle          | service               | 611             | 48              | 78              | 48              |
| 25      | 2_4_vehicle          | service               | 206             | 145             | 175             | 115             |
| 25      | 2_4_vehicle          | service               | 273             | 186             | 216             | 126             |
| 25      | 2_4_vehicle          | service               | 710             | 224             | 254             | 134             |
| 25      | 2_4_vehicle          | service               | 551             | 259             | 289             | 139             |
| 25      | 2_4_vehicle          | service               | 995             | 296             | 326             | 146             |
| 25      | 2_4_vehicle          | service               | 296             | 347             | 377             | 167             |
| 25      | 2_4_vehicle          | service               | 752             | 390             | 420             | 180             |
| 25      | 2_4_vehicle          | service               | 280             | 439             | 480             | 199             |
| 25      | 2_4_vehicle          | end                   | -               | 577             | undef           | 295             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 26      | 2_15_vehicle         | start                 | -               | undef           | 0               | 0               |
| 26      | 2_15_vehicle         | service               | 638             | 93              | 123             | 93              |
| 26      | 2_15_vehicle         | service               | 524             | 139             | 180             | 109             |
| 26      | 2_15_vehicle         | service               | 301             | 189             | 219             | 117             |
| 26      | 2_15_vehicle         | service               | 44              | 231             | 261             | 129             |
| 26      | 2_15_vehicle         | service               | 268             | 276             | 306             | 144             |
| 26      | 2_15_vehicle         | service               | 974             | 310             | 340             | 149             |
| 26      | 2_15_vehicle         | service               | 915             | 343             | 373             | 152             |
| 26      | 2_15_vehicle         | service               | 907             | 387             | 420             | 166             |
| 26      | 2_15_vehicle         | service               | 441             | 426             | 456             | 172             |
| 26      | 2_15_vehicle         | service               | 610             | 475             | 510             | 191             |
| 26      | 2_15_vehicle         | end                   | -               | 597             | undef           | 278             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 27      | 5_11_vehicle         | start                 | -               | undef           | 0               | 0               |
| 27      | 5_11_vehicle         | service               | 55              | 67              | 120             | 67              |
| 27      | 5_11_vehicle         | service               | 701             | 167             | 197             | 114             |
| 27      | 5_11_vehicle         | service               | 131             | 199             | 229             | 116             |
| 27      | 5_11_vehicle         | service               | 997             | 232             | 262             | 119             |
| 27      | 5_11_vehicle         | service               | 544             | 269             | 300             | 126             |
| 27      | 5_11_vehicle         | service               | 87              | 309             | 339             | 135             |
| 27      | 5_11_vehicle         | service               | 964             | 345             | 375             | 141             |
| 27      | 5_11_vehicle         | service               | 148             | 385             | 415             | 151             |
| 27      | 5_11_vehicle         | service               | 888             | 426             | 456             | 162             |
| 27      | 5_11_vehicle         | service               | 500             | 479             | 509             | 185             |
| 27      | 5_11_vehicle         | end                   | -               | 575             | undef           | 251             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 28      | 4_3_vehicle          | start                 | -               | undef           | 0               | 0               |
